epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,176.354,0.45051,0.38557,0.88644,0.97558,0.98958,0.995,0.89868,0.45688,0.27735,0.85777,0.000215774,0.000215774,0.000215774
43,179.904,0.46111,0.3675,0.88366,0.9734,0.99078,0.995,0.89649,0.46521,0.2731,0.85817,0.000204769,0.000204769,0.000204769
44,183.284,0.4471,0.3813,0.87444,0.96327,0.99832,0.995,0.895,0.48764,0.27365,0.86637,0.000193763,0.000193763,0.000193763
45,186.585,0.44894,0.34655,0.87705,0.96561,0.99356,0.995,0.89391,0.49263,0.27264,0.86789,0.000182758,0.000182758,0.000182758
46,190.908,0.43548,0.34739,0.8815,0.97014,0.97046,0.995,0.89146,0.47277,0.27048,0.8608,0.000171752,0.000171752,0.000171752
47,194.29,0.41076,0.33749,0.84853,0.97267,0.95884,0.995,0.89011,0.46266,0.27385,0.85821,0.000160747,0.000160747,0.000160747
48,197.66,0.43047,0.33708,0.87827,0.96769,0.96982,0.995,0.8977,0.46501,0.28212,0.86305,0.000149741,0.000149741,0.000149741
49,201.563,0.47202,0.40763,0.89316,0.96827,0.97525,0.99379,0.89833,0.46219,0.29257,0.86263,0.000138736,0.000138736,0.000138736
50,205.522,0.44869,0.35775,0.89667,0.96619,0.97421,0.99379,0.8931,0.46478,0.29584,0.85984,0.000127731,0.000127731,0.000127731
51,210.603,0.39476,0.30451,0.82766,0.95763,0.97005,0.99282,0.89993,0.46905,0.29004,0.85906,0.000116725,0.000116725,0.000116725
52,215.597,0.38045,0.28678,0.82622,0.96114,0.96729,0.99379,0.8931,0.47306,0.28711,0.8598,0.00010572,0.00010572,0.00010572
53,219.13,0.39544,0.33309,0.83996,0.96985,0.96582,0.995,0.89541,0.48359,0.2753,0.86208,9.4714e-05,9.4714e-05,9.4714e-05
54,222.412,0.36479,0.32928,0.86527,0.97455,0.96989,0.995,0.8962,0.46924,0.2534,0.85557,8.37085e-05,8.37085e-05,8.37085e-05
55,225.645,0.32957,0.26306,0.81657,0.98055,0.96928,0.995,0.90447,0.4671,0.24792,0.85672,7.2703e-05,7.2703e-05,7.2703e-05
56,230.036,0.3504,0.2586,0.79589,0.97531,0.9889,0.995,0.8965,0.46474,0.24704,0.85825,6.16975e-05,6.16975e-05,6.16975e-05
57,233.29,0.33332,0.25965,0.81319,0.9755,0.99061,0.995,0.8976,0.46304,0.24324,0.85809,5.0692e-05,5.0692e-05,5.0692e-05
58,236.619,0.36424,0.31293,0.8189,0.97687,0.99026,0.995,0.89903,0.46132,0.2368,0.8584,3.96865e-05,3.96865e-05,3.96865e-05
59,240.173,0.36382,0.28351,0.84012,0.97812,0.98955,0.995,0.90905,0.46044,0.23471,0.85789,2.8681e-05,2.8681e-05,2.8681e-05
60,244.285,0.31752,0.25119,0.7903,0.97911,0.98714,0.995,0.90244,0.45897,0.23653,0.85702,1.76755e-05,1.76755e-05,1.76755e-05
